m-0000	Surat Al-Fatihah This surah is called Al-Fatihah because it opens the great Quran. It is called Al-Mathani because it is recited in every rak'ah. It has other names. Begin reading the Quran in the name of Allah, seeking His help. Allah is the name of the Lord, Blessed and Exalted be He, the One truly worshipped, and none other than Him. It is the most special of Allah’s names, and no one else is called by it. Glory be to Him, the Most Gracious, the Possessor of General Mercy, Whose mercy encompasses all creation, the Most Merciful to the believers. These are two of His names, the Most High, which include affirming the attribute of mercy for Allah, the Most High, as befits His Majesty. Praise be to Allah, Lord of the Worlds. Praise be to Allah, Lord of the Worlds, praise be to Allah for His attributes, all of which are descriptions of perfection, and for His apparent and hidden blessings, religious and worldly. It includes an order to His servants to praise Him, for He alone is deserving of it. He, Glory be to Him, is the Creator of creation, the One who takes care of their affairs, the One who nurtures all of His creation with His blessings, and His friends with faith and righteous deeds. The Most Gracious, Whose mercy encompasses all of creation, the Most Merciful to the believers. These are two of Allah’s names. He, Glory be to Him, is the Owner of the Day of Resurrection, which is the Day of Recompense for deeds. In the Muslim’s recitation of this verse in every One rak’ah of his prayers is a reminder to him of the Last Day and an encouragement to him to prepare by doing good deeds and refraining from sins and bad deeds.
m-0001	We dedicate worship to You alone and seek Your help alone in all our affairs. The whole matter is in Your hand and no one possesses an atom’s weight of it. This verse is evidence that the servant is not permitted to devote any type of worship such as supplication, seeking help, slaughtering, and circumambulation except to Allah alone. In it is healing for the hearts from the disease of attachment to other than Allah and from the diseases of hypocrisy, conceit, and pride. Guide us, direct us, and grant us success to the straight path and make us steadfast on it until we meet You, which is Islam, which is the clear path that leads to the pleasure of Allah and to His Paradise, which was indicated by the Seal of His Messengers and Prophets, Muhammad, may Allah’s prayers and peace be upon him. There is no path to the servant’s happiness except by being steadfast on it.
m-0002	The path of those upon whom You have bestowed favor from among the prophets, the truthful, the martyrs, and the righteous, for they are the people of guidance and righteousness. Do not make us among those who follow the path of those who incurred Your wrath, those who knew the truth but did not act upon it, and they are the Jews and those who were like them, and the misguided, and they are those who were not guided and lost their way, and they are the Christians and those who followed their way. In this supplication there is healing for the heart of the Muslim from the disease of ingratitude, ignorance, and misguidance, and evidence that the greatest blessing of all is the blessing of Islam. Whoever knows the truth and follows it is more deserving of the straight path. There is no doubt that the companions of the Messenger of Allah, may Allah bless him and grant him peace, are the most deserving of that after the prophets, peace be upon them. The verse indicates their virtue and great status, may Allah be pleased with them. It is recommended for the reader to say in the prayer after reciting Al-Fatihah, Amen, and its meaning is O Allah, answer, and it is not a verse from Surat Al-Fatihah by consensus of the scholars, and for this reason they unanimously agreed not to write it in the Qur’an.
m-0003	These letters and other disconnected letters at the beginning of the surahs indicate the miraculous nature of the Qur’an. The polytheists were challenged by it and were unable to oppose it. It is composed of these letters that make up the Arabic language. The Arabs’ inability to produce anything like it, even though they are the most eloquent of people, indicates that the Qur’an is a revelation from God. This Qur’an is the great book that is undoubtedly from God. It is not right for anyone to doubt it because of its clarity. The righteous benefit from it with beneficial knowledge and righteous deeds. They are the ones who fear God and follow His rulings.
m-0004	They are those who believe in the unseen that their senses and minds alone cannot perceive because it is only known through the revelation of Allah to His Messengers, such as belief in the angels, Paradise, Hell, and other things that Allah has informed us of or that His Messenger has informed us of. Belief is a comprehensive word for acknowledging Allah, His angels, His books, His messengers, the Last Day, and destiny, both good and bad, and believing in the acknowledgment by word and action with the heart, tongue, and limbs. Along with their belief in the unseen, they maintain performing the prayer at its appointed times, performing it correctly according to what Allah has prescribed for His Prophet Muhammad, may Allah bless him and grant him peace. And from the money We have given them, they give out the obligatory and recommended charity of their money. And those who believe in what has been revealed to you, O Messenger, of the Qur’an and in what has been revealed to you of wisdom, which is the Sunnah, and in everything that was revealed to the Messengers before you of books such as the Torah, the Gospel, and others, and they believe in the abode of life after death and what is in it of accountability and recompense, believing in their hearts and appearing on their tongues and limbs. The Day of Resurrection was singled out because belief in it is one of the greatest motivations for doing acts of obedience, avoiding forbidden things, and holding oneself accountable. Those with these qualities are on the right path. With the light of their Lord and with the success of their Creator and Guide, they are the victorious ones who achieved what they sought and escaped the evil from which they fled.
m-0005	Indeed, those who have denied what was revealed to you from your Lord out of arrogance and transgression - faith will never come from them, whether you frighten them and warn them of the punishment of Allah or leave that alone because of their persistence in their falsehood. Allah has sealed the hearts of these people and their hearing and put a veil over their eyes because of their disbelief and stubbornness after the truth has become clear to them. So He did not guide them to guidance. And for them is a severe punishment in the fire of Hell.
m-0006	"And among the people is a group that hesitates in confusion between the believers and the disbelievers. They are the hypocrites who say with their tongues, “We believe in God and the Last Day,” while inwardly they are liars who have not believed. They believe in their ignorance that they are deceiving God and those who believe by showing faith and concealing disbelief. They only deceive themselves because the consequences of their deception will come back to them. Due to their extreme ignorance, they do not feel that because of the corruption of their hearts. In their hearts is doubt and corruption, so they are afflicted with sins that require their punishment. So God has increased their doubt, and they will have a painful punishment because of their lies and hypocrisy. And when they are advised to stop spreading corruption on earth through disbelief and sins, and divulging the secrets of the believers and befriending the disbelievers, they say falsely and argumentatively, “We are only the people of reform.” What they do and claim is reform is the very essence of corruption, but due to their ignorance and stubbornness, they do not feel it. And when it is said to the hypocrites, “Believe like the faith of the Companions, which is faith with the heart, tongue, and limbs,” they argue and say, “Should we believe like the belief of those who are weak in mind and opinion?” So we and they are equal in foolishness. God responds to them by saying, Foolishness is limited to them and they do not know that what they are in is misguidance and loss.These hypocrites, when they meet the believers, say: We believe in Islam just like you. But when they turn away and go to their disbelieving leaders who rebel against Allah, they confirm to them that they are on the religion of disbelief and have not abandoned it, but they were belittling the believers and mocking them.Allah mocks them and gives them respite so that they may become more misguided, confused and hesitant, and He punishes them for mocking the believers.These hypocrites sold themselves in a losing deal, so they took disbelief and abandoned faith, so they gained nothing, but rather they lost guidance. This is the clear loss."
m-0007	The state of the hypocrites who believed outwardly but not inwardly in the message of Muhammad, may God bless him and grant him peace, then disbelieved and began to stumble in the darkness of their misguidance, not realizing it and without any hope of getting out of it, is like the state of a group on a dark night, and one of them lit a huge fire for warmth and illumination, but when the fire shone and illuminated what was around him, it went out and became dark, so its people were left in darkness, not seeing anything and not being guided to a path or a way out. They are deaf to hearing the truth with contemplation, dumb to speaking it, blind to seeing the light of guidance, so they are unable to return to the faith they abandoned and have replaced it with misguidance. Or the state of another group of hypocrites, to whom the truth is apparent at one time and they doubt it at another time, is like the state of a group walking in the open, and a heavy rain falls upon them, accompanied by darknesses one upon the other, with the clapping of thunder, the flashing of lightning, and the burning thunderbolts that make them, out of the intensity of the terror, put their fingers in their ears in fear of destruction, and God Almighty encompasses the disbelievers, they do not escape Him nor are they able to defeat Him. Lightning is so intense that it takes away their sight, yet whenever it shines for them they walk in its light, and when it disappears, the road becomes dark for them and they stop in their places. And if God had not given them respite, He would have taken away their hearing and sight. And He is able to do that at all times. Indeed, He is over all things competent.
m-0008	A call from God to all mankind to worship God who raised you with His blessings and fear Him and do not disobey His religion, for He created you from nothing and created those before you so that you may be among the righteous, with whom God is pleased and who are pleased with Him. Your Lord is He who made the earth a carpet for you to make your life easy on it and the sky well-built and sent down rain from the clouds and brought forth for you thereby various colors of fruits and types of plants as provision for you. So do not make peers for God in worship while you know that He is unique in creation and provision and that He deserves servitude.
m-0009	And if you, O stubborn disbelievers, are in doubt about the Qur’an that We revealed to Our servant Muhammad, may God bless him and grant him peace, and you claim that it is not from God, then produce a surah that is similar to a surah from the Qur’an and seek help from whomever you are able of your helpers, if you are truthful in your claim. If you are unable now and you will inevitably be unable in the future, then fear the Fire by believing in the Prophet, may God bless him and grant him peace, and obeying God Almighty. This Fire, whose fuel is people and stones, has been prepared for those who disbelieve in God and His Messengers.
